datetime,open,high,low,close,volume
2026-04-21 12:15:00,24816,24822.7,24810,24815,3315
2026-04-21 12:20:00,24815,24835,24815,24823,3510
2026-04-21 12:25:00,24823,24834,24823,24823,2015
2026-04-21 12:30:00,24823,24834,24815,24815,4290
2026-04-21 12:35:00,24815,24823,24810.1,24822,910
2026-04-21 12:40:00,24822,24822,24810,24821.7,910
2026-04-21 12:45:00,24821.7,24821.7,24790,24793.9,2860
2026-04-21 12:50:00,24793.9,24809.9,24791,24795.2,1105
2026-04-21 12:55:00,24795.2,24804.9,24794,24804.9,2015
2026-04-21 13:00:00,24804.9,24809.5,24790,24790,2795
2026-04-21 13:05:00,24790,24805,24785,24800,1365
2026-04-21 13:10:00,24800,24819.6,24787.3,24812.4,5720
2026-04-21 13:15:00,24812.4,24821,24805.1,24805.1,1105
2026-04-21 13:20:00,24805.1,24815,24805.1,24812,715
2026-04-21 13:25:00,24812,24815,24805,24805,585
2026-04-21 13:30:00,24805,24828.9,24805,24828.9,2600
2026-04-21 13:35:00,24828.9,24828.9,24806,24806,15210
2026-04-21 13:40:00,24806,24814.8,24773.9,24795,5135
2026-04-21 13:45:00,24795,24800,24782,24800,2210
2026-04-21 13:50:00,24800,24812,24799.3,24811.9,2210
2026-04-21 13:55:00,24811.9,24828,24809,24825,2145
2026-04-21 14:00:00,24825,24826.8,24805.6,24815.3,1755
2026-04-21 14:05:00,24815.3,24815.3,24790,24790,2275
2026-04-21 14:10:00,24790,24814.9,24790,24813.5,2470
2026-04-21 14:15:00,24813.5,24830,24813.5,24825.6,2210
2026-04-21 14:20:00,24825.6,24838,24816.3,24832.2,6500
2026-04-21 14:25:00,24832.2,24842,24829,24829,3315
2026-04-21 14:30:00,24829,24840,24829,24831,2210
2026-04-21 14:35:00,24831,24831,24812,24812,1235
2026-04-21 14:40:00,24812,24812.1,24800,24808.9,2275
2026-04-21 14:45:00,24808.9,24823.5,24800,24823,1495
2026-04-21 14:50:00,24823,24840,24821,24821.1,3900
2026-04-21 14:55:00,24821.1,24845,24821,24844.1,5980
2026-04-21 15:00:00,24844.1,24849,24830,24839.6,5460
2026-04-21 15:05:00,24835,24840,24830,24835,3185
2026-04-21 15:10:00,24835,24839.9,24835,24836,7085
2026-04-21 15:15:00,24836,24850,24830,24830.9,14820
2026-04-21 15:20:00,24830.9,24846.9,24830,24840,4615
2026-04-21 15:25:00,24840,24847.9,24840,24845,12610
2026-04-22 09:15:00,24729.2,24800,24674.3,24729,3575
2026-04-22 09:20:00,24721,24746,24713.5,24714.9,4030
2026-04-22 09:25:00,24714.9,24715,24695.3,24695.3,7085
2026-04-22 09:30:00,24695.3,24720.2,24687.8,24698,8905
2026-04-22 09:35:00,24698,24720.3,24695.5,24695.5,3835
2026-04-22 09:40:00,24695.5,24696.3,24675,24675,10140
2026-04-22 09:45:00,24675,24691.2,24660,24664,8515
2026-04-22 09:50:00,24664,24680.8,24663.3,24664.4,2925
2026-04-22 09:55:00,24664.4,24664.4,24648,24648,10660
2026-04-22 10:00:00,24648,24648,24617.8,24642.8,8905
2026-04-22 10:05:00,24642.8,24644,24629.6,24630,4810
2026-04-22 10:10:00,24630,24648.9,24625.1,24633.6,3120
2026-04-22 10:15:00,24633.6,24641.8,24625,24630,3185
2026-04-22 10:20:00,24630,24632.2,24605,24608.9,5915
2026-04-22 10:25:00,24608.9,24638.7,24608,24638.7,2405
2026-04-22 10:30:00,24638.7,24642.6,24618.4,24636,4030
2026-04-22 10:35:00,24636,24653.8,24626.5,24650.9,1235
2026-04-22 10:40:00,24650.9,24679.1,24646.1,24670,2015
2026-04-22 10:45:00,24670,24694,24660,24678.5,2340
2026-04-22 10:50:00,24678.5,24706.3,24678.5,24697.9,2470
2026-04-22 10:55:00,24697.9,24706.7,24694.3,24699.9,1430
2026-04-22 11:00:00,24699.9,24700,24685.2,24694.9,3640
2026-04-22 11:05:00,24694.9,24707.2,24682.6,24682.6,2210
2026-04-22 11:10:00,24682.6,24690.7,24664.8,24677,1170
2026-04-22 11:15:00,24677,24699,24677,24699,780
2026-04-22 11:20:00,24699,24700,24682,24700,1820
2026-04-22 11:25:00,24700,24716,24700,24700,2210
2026-04-22 11:30:00,24700,24715,24690.1,24700.4,1300
2026-04-22 11:35:00,24700.4,24708.4,24688.6,24698.8,2275
2026-04-22 11:40:00,24698.8,24703.3,24688.6,24689.1,1105
2026-04-22 11:45:00,24689.1,24689.1,24644,24660,3315
2026-04-22 11:50:00,24660,24683.2,24660,24683.2,455
2026-04-22 11:55:00,24683.2,24699.7,24683.2,24699.7,715
2026-04-22 12:00:00,24699.7,24704,24689,24700,1170
2026-04-22 12:05:00,24700,24706.7,24689,24689.1,975
2026-04-22 12:10:00,24689.1,24698.1,24688.9,24695,1235
2026-04-22 12:15:00,24695,24695,24668.8,24668.8,260
2026-04-22 12:20:00,24668.8,24668.8,24666.3,24666.3,130
2026-04-22 12:25:00,24666.3,24684.1,24660.1,24675.8,585
2026-04-22 12:30:00,24675.8,24690,24674.2,24680,975
2026-04-22 12:35:00,24680,24680,24660,24668.3,650
2026-04-22 12:40:00,24668.3,24688.1,24667.7,24674.4,2535
2026-04-22 12:45:00,24674.4,24684,24660,24660,780
2026-04-22 12:50:00,24660,24674.8,24660,24674.8,260
2026-04-22 12:55:00,24674.8,24697.3,24674.8,24695,650
2026-04-22 13:00:00,24695,24695,24675,24680,455
2026-04-22 13:05:00,24680,24700,24680,24700,1625
2026-04-22 13:10:00,24700,24700,24675.1,24690,845
2026-04-22 13:15:00,24690,24690.1,24676.4,24676.4,910
2026-04-22 13:20:00,24676.4,24676.4,24640,24650,8710
2026-04-22 13:25:00,24650,24665.8,24646.6,24661,6370
2026-04-22 13:30:00,24661,24679.7,24660,24660,10985
2026-04-22 13:35:00,24660,24685,24660,24675,195
2026-04-22 13:40:00,24675,24685,24675,24685,650
2026-04-22 13:45:00,24685,24685.2,24680,24685.2,1235
2026-04-22 13:50:00,24685.2,24689.9,24665,24670,5915
2026-04-22 13:55:00,24670,24705,24670,24705,1625
2026-04-22 14:00:00,24705,24715.2,24680,24682.5,1950
2026-04-22 14:05:00,24682.5,24689.5,24675.2,24689.5,910
2026-04-22 14:10:00,24689.5,24689.5,24663.4,24663.4,780
2026-04-22 14:15:00,24663.4,24663.4,24650,24651.5,1365
2026-04-22 14:20:00,24651.5,24675.1,24651.5,24668.2,910
2026-04-22 14:25:00,24668.2,24668.2,24666.7,24666.7,195
2026-04-22 14:30:00,24666.7,24666.7,24656.7,24659.4,650
2026-04-22 14:35:00,24659.4,24690,24658,24671,1105
2026-04-22 14:40:00,24671,24682,24663.5,24680.6,1105
2026-04-22 14:45:00,24680.6,24683.8,24672,24679.9,650
2026-04-22 14:50:00,24679.9,24680,24666.5,24680,1105
2026-04-22 14:55:00,24680,24690,24671.6,24678.5,845
2026-04-22 15:00:00,24678.5,24678.5,24640.2,24640.2,3835
2026-04-22 15:05:00,24640.2,24652.7,24639,24639,3705
2026-04-22 15:10:00,24639,24660.9,24630,24650,2665
2026-04-22 15:15:00,24650,24665,24650,24662.3,2405
2026-04-22 15:20:00,24662.3,24663.9,24652.4,24655,3770
